ClassID,Class Number,Department Code,"Typical year taken (Freshman, Sophmore, Junior, Senior)",Credit hours,Topic,"First Taught (Fall, Winter, Spring, Summer)","Seconde Taught (Fall, Winter, Spring, Summer)",Prereq (ClassID),Current enrollment allowed (ClassID),"Category (Major, Eng, EMSB, EPSEL, Gen, Rel)","General Education Set (1, 2)","Substitution allowed? (Yes, No)",Substitution class id,"ABET Category (Eng, Sci)"
061,410,MATH,Senior,3,Introduction to numerical methods,Fall,,007,,EMSB,,Yes,,Sci
062,510,MEEN,Senior,3,Compressible fluid flow,Fall,,017,,Eng,,Yes,,Eng
063,199R,CBE,Junior,1,Academic Internship - for students completing and internship,Spring,Summer,,,Eng,,Yes,,
064,300,MFGEN,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,Eng,,Yes,,Eng
065,200,CS,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,Eng,,Yes,,Sci
066,200,ACC,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
067,300,ACC,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
068,200,ENT,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
069,300,ENT,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
070,200,FIN,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
071,300,FIN,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
072,200,GSCM,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
073,300,GSCM,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
074,200,GCI,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
075,300,GCI,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
076,200,HRM,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
077,300,HRM,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
078,200,IS,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
079,300,IS,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
080,200,MKTG,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
081,300,MKTG,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
082,200,MPA,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
083,300,MPA,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
084,200,PSE,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
085,300,PSE,Junior,3,Various topics as this represents several possible classes students could take,Fall,Winter,,,EMSB,,Yes,,
086,461,CBE,Senior,3,Capstone projects,Winter,,"023, 026",,EPSEL,,Yes,,Eng
087,499,CBE,Senior,3,Mentored research,Fall,Winter,,,EPSEL,,Yes,,Eng
088,495R,CBE,Senior,3,Global engineering outreach,Fall,Winter,,,EPSEL,,Yes,,Eng
089,475,MEEN,Senior,3,Mechanical engineering capstone 1,Fall,,,,EPSEL,,Yes,,Eng
090,476,MEEN,Senior,3,Mechanical engineering capstone 2,Winter,,,,EPSEL,,Yes,,Eng
091,101,UNIV,Freshman,2,Gospel and College introduction principles,Fall,Winter,,,Gen,"1,2",No,,
092,150,WRTG,Freshman,3,Introduction to writing,Fall,Winter,,,Gen,1,No,,
093,100,AHTG,Freshman,3,American heritage,Fall,Winter,,,Gen,1,No,,
095,100,LETT,Sophomore,3,Letters and global cultural awareness classes as part of general education to satisfy both letters and global cultural awareness at the same time,Fall,Winter,,,Gen,1,No,,
096,100,CIV,Sophomore,3,Civilization and arts general requirements satisfied by any number of classes,Fall,Winter,,,Gen,1,No,,
097,121,RELA,Freshman,2,The book of mormon,Fall,Winter,,,Rel,,No,,
098,250,RELA,Sophomore,2,Christ and his gospel,Fall,Winter,,,Rel,,No,,
099,200,RELC,Sophomore,2,Role of the eternal family in the gospel of jesus christ,Fall,Winter,,,Rel,,No,,
100,200,REL,Sophomore,2,Religion elective,Fall,Winter,,,Rel,,No,,
101,300,REL,Junior,2,Religion elective,Fall,Winter,,,Rel,,No,,
102,250,REL,Sophomore,2,Religion elective,Fall,Winter,,,Rel,,No,,
103,225,RELC,Sophomore,2,Foundations of the restoration of the gospel of Jesus Christ,Fall,Winter,,,Rel,,No,,
104,102,UNIV,Sophomore,3,Great questions out of the best books,Fall,Winter,,,Gen,2,No,,
105,103,UNIV,Sophomore,3,Inspired constitutional principles,Fall,Winter,,,Gen,2,No,,
106,104,UNIV,Sophomore,3,"Faith, family, and human flourishing",Fall,Winter,,,Gen,2,No,,
107,105,UNIV,Sophomore,3,Stewardship and the natural world,Fall,Winter,,,Gen,2,No,,
108,106,UNIV,Sophomore,3,Numeracy and Data,Fall,Winter,,,Gen,2,No,,
109,107,UNIV,Sophomore,3,Effective communication,Fall,Winter,,,Gen,2,No,,
110,108,UNIV,Sophomore,3,Languages and cultures,Fall,Winter,,,Gen,2,No,,
111,109,UNIV,Sophomore,3,"Arts, letters, and sciences",Fall,Winter,,,Gen,2,No,,
